text,label,notes
This team couldn't compete with KAT as a second option and couldn't compete with Randle as a second option and then Jaden as a second option. They were completely dismantled by better teams three years in a row,analysis,
Y'all honest to god still need a PG,hot_take,
Randle isn't a bad player but he doesn't offer much flexibility in team building and isn't a great fit with Ant. Wolves net rating over the last two seasons including playoffs: Ant ON Randle ON plus 3 in 4157 minutes. Ant ON Randle OFF plus 3 in 1759 minutes,analysis,
The gap in this team is not the role players. The issue is that Ant himself is an elite catch-fire scorer but not an offensive engine in the mold of SGA Jokic Brunson. He needs to develop elite conditioning become capable of being a primary ball handler and learn to manipulate defenses rather than just attack with athleticism,analysis,
Ant was injured and not the Ant we know. DDV was also injured. I genuinely think if both were fully healthy we would have been far more competitive against the Spurs,hot_take,
These are some of the most reactionary rankings I have ever seen,hot_take,
It's just a measure of fanbase size and the Knicks are in full bandwagon. Not serious at all,hot_take,
Towns at 8 when he averaged 15/10 in the playoffs and a subpar finals is ridiculous. Also OG at 11? Recency bias to the max,analysis,
This ranking is based on terrible data plagued by massive selection bias. Who's most likely voting? Knicks fans riding high after their chip a huge energized fanbase skewing their players higher. Large fanbases will have more votes so big market players get skewed up,analysis,
Brunson at 2 I feel like I'm taking crazy pills,reaction,
KAT at 8 and OG at 11 is even worse. They're great stars but not top 10 players in the league,hot_take,
Brunson over SGA genuinely the funniest thing I've ever seen,reaction,
Brunson over SGA Wemby and Luka is the definition of reactionary,hot_take,
He's just getting his flowers for winning a ring. No serious person will hold that opinion by the midway point of next season,hot_take,
OG is around 30. No way I'm taking him over Siakam Embiid healthy or Murray,hot_take,
This sub does not know ball,hot_take,
Luka has been a top 5 player since year 3,hot_take,
Brunson is not better than Luka,hot_take,
I'm fine with the Wolves players rankings. Perfectly acceptable to have Brunson over Ant but he isn't 2. KAT fan but he isn't 8,hot_take,
We won't know who won for like another five years,hot_take,
Giving Bucks an A- while Miami walks away with Giannis and gets a B is wild framing. Those picks age in mysterious ways and Milwaukee better hope at least two of them turn into something real,analysis,
Bucks have their core and future with picks AND they can still bring in a star. Miami sacrificed literally everything for him. No depth no capital,analysis,
Irrelevant trade. Neither team is making the ECF in the next 5 years,hot_take,
Bucks won. They got off Giannis who they were never going to rebuild around and got assets to start a rebuild. Heat won in the sense they now have a star to put players around. Personally I think this turns out terribly for the Heat,analysis,
Bam and Giannis is going to be a crazy double big lineup,hot_take,
Reminds me of a better version of the AD and Cousins duo. Can't wait to see how suffocating the defense is between these two,hot_take,
Miami gutted their roster. They have 5 guys and that's about it,reaction,
Without a reliable bench how long will Giannis last and how many games is he going to play in a season,hot_take,
Nah Tyler Herro isn't safe,hot_take,
He's not quite caliber for an A1 player on a contender but he's too valuable for owners to trade like a second option. He might end up floating around struggling franchises for a year or two,analysis,
Celtics put tensions on their relationship with Brown for no reason,hot_take,
If you look at the last 9 seasons Giannis has averages of 29.1 PPG 11.6 RPG and 5.8 APG. He maintained elite production season after season and being consistently dominant,analysis,
Maybe I'm wrong but Bam and Giannis really isn't enough to beat the East,hot_take,
The league as a whole is the real winner. Giannis didn't land on a true contender like OKC or an up and coming young team like Orlando but instead on the husk of a Miami team no one will be scared of,analysis,
The Heat who had a bunch of average to above average guys condensed them into a superstar. This is always a winning move. The East is wild right now with about 6 teams that can look to be the best based on injury luck,analysis,
The Celtics managed to weaken both Miami and Milwaukee while keeping their two aces. They're the winners here,hot_take,
We finally get to see if just put shooters around Bam was gospel or just a meme all along,reaction,
Last season was so exhausting. Trust me a good chunk of Bucks fans are happy the rumors are done,reaction,
The biggest difference is Doc and Spo,hot_take,
I think the Bucks fleeced the Heat in this trade,hot_take,
Giannis had all the leverage and chose not to use it. He could've made it so the Bucks got next to nothing but instead they got the whole Heat minus Bam and Spo,analysis,
I still think Boston's deal was better. They would've got a significant package just from flipping Brown,hot_take,
Brown and Tatum are a championship duo. Build around those two and they can make another finals. Their window isn't closed yet,hot_take,
Elite coaching systems and player development don't make headlines but they make for great basketball teams and Heat are the clear exhibit A for the whole league,analysis,
Tyler as our best offensive player was never going to get us anywhere. Exchanging him and a few others for a top 3 player in the league is a no brainer. We still have Bam and a solid starting 5,analysis,
People will never learn when it comes to the Heat and Spo. What was the good move? Trading away Bam for picks and rebuilding around Ware Herro and JJJ?,hot_take,
People simply thought Dame and Giannis was going to be Curry and KD,reaction,
I don't think the Dame trade can be considered poor roster construction. Just didn't work out and that's when it really went downhill,analysis,
Giannis has 1 playoff series win over the last 5 years. This trade will be a disaster for Miami,hot_take,
This is a playin team at best with a weak bench,hot_take,
They're basically in a holding pattern until their traded picks clear,hot_take,
The Bucks are stuck without their own draft capital until 2031. They pretty much need one of these picks to be a cornerstone piece. There's not a lot of room for error anymore,analysis,
Now the Blazers enjoy the increased value of the Bucks picks and swaps they own. Very surprised the Bucks moved Giannis without getting control of a single one of those picks back,analysis,
There is a proven strategy for building a contender. Acquire assets develop players maintain flexibility build a winning culture. Be willing to rent out cap space for draft picks. Don't overpay players or lock into big contracts for guys who aren't the guy,analysis,
They have picks 10 and 13 two future firsts and a pick swap. Jaquez Ware and Jakucionis on rookie deals. Herro will extend and can net more picks. Turner is tradable. They're in a good spot if they can draft well,analysis,
There is way less value in a bad team having their own draft picks after the tanking and lottery reforms. The Thunder post Westbrook and the Nets post KG Pierce are the teams that did this most clearly,analysis,
Kuzma is expiring at 20 million which is not that bad. Turner is still an elite shooting center and a lot of teams could benefit from his spacing,analysis,
The east is weak and the Bucks could sneak into the play-in like Portland could also fall into the play-in simply due to competition level,hot_take,
I think they might flip 13th overall for a veteran player. Bucks should be making the play-in at minimum with this new core,hot_take,
Free agency looks to be important for them and although they're a small market I could see them utilizing the new CBA to overpay someone,analysis,
Took about 10 hours for the next superstar wants out narrative to form,reaction,
The 3 best Wolves of all time sans Edwards got traded and immediately won championships,analysis,
The NBA media ecosystem cannot survive without a disgruntled star to discuss hypothetical trades for,hot_take,
It's only a matter of time before we circle back to Jokic is unhappy followed by Wemby is unhappy. The beast must be fed,reaction,
Not even 24 hours before moving on to the next frustrated superstar,reaction,
As a star level player leaving Minnesota the team acquiring him is guaranteed a chip. Garnett Love Wiggins and KAT,analysis,
They've been targeting Ant ever since he signed his most recent extension. There were articles that same offseason saying he has to get out of Minnesota,analysis,
Ant has been frustrated ever since the KAT trade at how often he gets double teamed. They have to do something this offseason. Instead the offseason begins by trading Randle in a salary dump,reaction,
NBA vultures are swirling around Ant in anticipation of him potentially becoming the next superstar available in the trade market,hot_take,
I see the media's next target has been found,reaction,
NBA discourse is always the same. Criticize any move then act like success was pre-ordained if it works out,hot_take,
Huge get for the Blazers. Big loss for Minnesota,hot_take,
Getting poached off the Wolves staff is a pretty solid endorsement. That bench has been farming head coach buzz for a while,analysis,
Nori is great in the locker room and always gives entertaining interviews. There are times when Finch has been out and Nori outcoached him,analysis,
The amount of opinions people have on assistant coaches who have never been a head coach before is insane. No one can accurately judge these guys besides knowing they are well regarded,hot_take,
It's not that I'm sad we traded Randle. It's the fact that we had to move down from our already limited draft stock just to do it meaning we basically traded KAT for Donte a prospect with 300 career minutes and a lower draft pick,analysis,
Norm is already 33 years old coming off his best and All Star season. This next contract might be his last big payday. He should not be taking a discount,analysis,
The problem is he excels as a number 2 option but is realistically a number 3 on a contender. He doesn't defend or playmate. Hard to find a team that fits that,analysis,
He's 33 and has never had close to the assist numbers teams want from a second option. His size defense and rebounding leave something to be desired. Who is going to line up to give him a huge contract,analysis,
Feels like a Norm Powell sign and trade is the eventual outcome. Could see Detroit as a potential destination if they don't go for Herro. Miami could take back multiple lesser players to backfill their roster,analysis,
Giannis didn't want to waste years not competing only to waste a year not competing. Giannis is looking like a clown if this is really the Heat roster,hot_take,
He should have never been traded. It was honestly one of Masai's biggest blunders,hot_take,
The logic post championship was that several contracts were coming up and the Raptors needed to focus on retaining Siakam OG and Fred Van Vleet. Norm Powell was 27 and looked like he had plateaued so they traded him for Gary Trent Jr who was 5 years younger and significantly cheaper,analysis,
No way he takes a discount he's 33 and he already has a ring,hot_take,
Whats the point of trading for Giannis if you know you cant put a team around him to win,hot_take,
Pelinka loves redundant combo guards and is excited to use most of our cap space on a 6th man,hot_take,
There's no way Milwaukee took Miami's package over this when you can flip Brown for a haul too on top of 2 firsts from Boston,hot_take,
Boston 1sts are worthless given they're set up for contention long term and will probably be picking bottom 5 every year,analysis,
Is Brown really worth more than Herro Ware Jaquez a first round pick a swap and a second rounder? The Heat picks would be worth a lot more than the Celtics ones,analysis,
The Bucks wanted multiple players that could develop into All Star talent instead of just Jaylen Brown. Also those Miami picks are in the 2030s and Giannis should be past his prime by then,analysis,
Bucks don't need Miami to tank. The odds are flattened now. They just want the Heat to be bottom half of the league which seems like a great bet in 2031 and 2033 when Giannis is well past his prime,analysis,
Giannis and Bam is not a great fit and if I'm the Bucks Jaylen Brown is so much more attractive as you can flip him for even more or he becomes a hell of a player to build around short term,analysis,
Even if the Heat keep picking in the 10-20 range that's still much better than Boston who are set up for contention long term,analysis,
Celtics offer was better in my opinion,hot_take,
Spoelstra alone can take that subpar roster far,hot_take,
People are really forgetting Spoelstra. How many bang average players has he made into positive contributors. He's easily the best coach Giannis has ever played for,hot_take,
Giannis really is so dumb pushing hard for Miami. Can't tell if he really thinks that roster is doing anything or he just wants to be in Miami,hot_take,
JT and Giannis would have been crazy,reaction,
Well now I'm more excited for the Celtics draft. Feel like JB maybe still traded? This is awkward,reaction,
In the end Bucks did the right thing pushing this for this long. Miami's offer now beats anything the Knicks could have offered last year,analysis,
Giannis seems like the only loser out of the 3 parties here. The Bucks got a better package than they would have gotten from the Knicks and the Knicks won a championship without messing with team chemistry,analysis,
We wouldn't have won the title if we traded either KAT or Anunoby for him. The only trade that would have made us better would have been centered around Bridges and Hart,analysis,
Giannis wasted another year of his prime suffering several more injuries trying to carry a bad team and now gets shipped to a worse situation than New York would have been,hot_take,
He will be making cryptic instagram posts making Heat fans nervous within 18 months,hot_take,
Knicks just keep making correct decisions left and right,reaction,
After seeing what Miami gave up to get him no thanks. I think we did alright without him,reaction,
This trade is the first time a team has traded away the best player in franchise history since the Magic traded Dwight in 2012 or the Timberwolves traded KG in 2007,analysis,
Minnesota was always the team with interest that had the least to give. They desperately wanted Giannis but Jaden McDaniels was untouchable and they had no draft capital,analysis,
The Knicks are not too sad about it now,reaction,
About time props to him being willing to come off the bench for so long,reaction,
Jaden McDaniels has been amazing for the Timberwolves this season so I don't blame the front office for taking a gamble on McDaniels taking another big leap,analysis,
They traded KAT for Randle and then had to give away a pick just to unload him,reaction,
Reid is definitely good enough to be a difference-making starter. The question is who do they find to be their bench big,hot_take,
He's just a much better fit next to Ant so maximizing their minutes together is huge. He can actually shoot unlike Randle,analysis,
Swap Ja with Kyrie and that's a proper contender,hot_take,
Neither of them can stay healthy long enough for that to be a proper contender. Maybe a fragile contender,hot_take,
I always felt like Giannis gets injured at the wrong time in the playoffs. If you look at the last 9 seasons he has averages of 29.1 PPG 11.6 RPG and 5.8 APG which is insane and he maintained elite production season after season,analysis,
Is Miami really a contender though? Even with Giannis Miami feels more like a 4-6 seed than a team that can win the east,hot_take,
Most fans were begging front office to pick a direction. Tired of playing year after year. Least they picked a direction even if it doesn't work out,reaction,
I love Tyler and always will but him as our best offensive player was never going to get us anywhere. We still have Bam and a solid starting 5. People are truly underestimating how good this can be,analysis,
Right. People thought Lillard was the key to getting things going and look how that turned out,hot_take,
Giannis Bam Wiggins Mitchell will be a crazy good defensive team,hot_take,
They have 3 players in the starting lineup shooting at least 39% from 3. Mitchell Powell Wiggins and outside of last season Bam is a decent shooter,analysis,
Wiggins is a very reluctant shooter at times. He's the type of player who elevates a team that already has spacing but won't add much to a team that lacks other shooters,analysis,
People forgot he had Kyle Kuzma taking big time shots,reaction,
Yeah for all the talk that the Giannis package was gonna be lackluster Milwaukee did pretty damn good,reaction,
Giannis Bam and friends,reaction,
I can't believe you guys looked at his Sixers tenure and were like yep that's the guy,reaction,referring to Doc Rivers
I'm very excited to pay attention to Bucks basketball again. Ever since the Doc hire it's been radioactive with how toxic that dude is,reaction,
Who's gonna shoot for Miami?,reaction,
The next couple undrafted white guys from Creighton who Spo and Bob McAdoo turn into 45 percent 3pt shooters,hot_take,
You do realize that players like Max Strus and Duncan Robinson were gems taken by Miami somewhere?,analysis,
Norm Powell sign and trade to the Pistons could net Miami multiple lesser players to help backfill their roster,analysis,
Powell is probably going to get the big MLE at minimum. The problem is the Heat are hard capped and only have like 17 million to fill their last 4 roster spots,analysis,
He went from going undrafted then 6MOY and finally nabbed a starting role. He's come a long way,reaction,
I mean he's always gotten a heavy dose of minutes. People put way too much value in starting vs being the first guy off the bench. I care who finishes,hot_take,
They definitely should be cooking something. The question is if they remembered to turn the stove on,hot_take,
Obviously space opened up but it's gotta be connected to a bigger move right? Trading Randle and the 28 to move down five picks by itself seems pretty bad,analysis,
Whenever I saw Randle it always made sense to just flip him to start Naz because the effort and production was similar in playoff settings,analysis,
He was a stud in college not sure why he didn't get drafted. Must have been poor conditioning or something,hot_take,
He had a historically bad body fat percentage. Strange because he turned into a workout demon the second he signed his first NBA contract,reaction,
The Knicks literally had the greatest playoff run in the history of the sport in terms of point differential. I don't believe in any hypothetical where we would be better,analysis,
I think even if we won it all with Giannis this year the way we did win it was better. Winning after Giannis forced his way here would have cheapened it a little,hot_take,
Honestly you would have given up a lot of your valuable depth to get him and that was a huge part of your run. Also not guaranteed he stays healthy given he hasn't the last 4 years,analysis,
That team if healthy would be damn near unstoppable especially if they only had to send JB to get him,hot_take,
Miami also traded away all of their roster and picks to get him so it isn't like they're the automatic favorites,analysis,
I don't really understand it from Miami's POV. Is Norm Powell Bam and Giannis even an ECF team? But I guess they were mid before and now they are slightly above mid with Giannis,hot_take,
How many bang average players has Spoelstra made into positive contributors. He's easily the best coach Giannis has ever played for and he led two finals appearances with Jimmy Butler as the main guy,analysis,
The Bucks and Knicks briefly engaged in discussions last summer but New York never believed Milwaukee seriously considered trading its superstar,reaction,
Antetokounmpo pushed for a trade with his reps making it clear that the New York Knicks were his preferred destination,reaction,
I always kinda laughed at the Timberwolves. They desperately wanted Giannis but Jaden McDaniels was untouchable and they had no picks to offer. Minnesota was always the team with the least to give,analysis,
Knicks for clicks just doesn't work anymore does it,reaction,
I thought they completely doomed themselves with that Mikal trade. Goes to show,reaction,
Leon Rose is an oracle. He can see the future,hot_take,
The new lottery changes are only in effect for 2027 2028 2029 and could be completely different again by the time these picks convey,analysis,
My guess is the Bucks front office is betting that the new system is popular enough to stick long term. Riley will likely retire before 2031 and Giannis won't be a superstar anymore so decent chance the Heat will be a middling team. The 2031 and 2033 picks have a decent chance to be lottery picks,analysis,
With the way the new lottery works mid teams that don't tank could get the number 1 pick,analysis,
Half of those picks are after Giannis is going to be quite old on a team with no draft capital and currently no depth. I would not bet on Miami being great in 5 years,analysis,
Tbh with the new CBA picks are extremely valuable and why you haven't seen these 5-6 pick trades anymore. Second rounders became valuable,analysis,
The Bucks Bucks are stuck with Dame's contract on the books till 2030 and can't truly start a rebuild until they own their picks. Milwaukee is probably one of the worst free agent destinations in the league,analysis,
